stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Science,115,475,0.70519,0.73441,1-1.5 y,1.714285714,No
Plane,115,475,0.50718,0.51164,1-1.5 y,1.714285714,No
Dogs,115,475,0.61198,0.57109,1-1.5 y,1.714285714,No
Feist,116,1468,0.6158,0.80455,4-6 y,1.585714286,Not Sure
Pentatonix,116,1468,0.54808,0.62403,4-6 y,1.585714286,No
Science,116,1468,0.62584,0.5489,4-6 y,1.585714286,No
Plane,116,1468,0.52123,0.52252,4-6 y,1.585714286,No
Dogs,116,1468,0.63716,0.52072,4-6 y,1.585714286,No
Feist,117,423,0.61777,0.5042,1-1.5 y,1.635714286,No
Pentatonix,117,423,0.63519,0.58051,1-1.5 y,1.635714286,No
Science,117,423,0.68699,0.65934,1-1.5 y,1.635714286,No
Plane,117,423,0.63976,0.61566,1-1.5 y,1.635714286,No
Dogs,117,423,0.60574,0.6226,1-1.5 y,1.635714286,No
Feist,118,252,0.6417,0.69434,.5-1 y,2.125,No
Pentatonix,118,252,0.61676,0.59143,.5-1 y,2.125,No
Plane,118,252,0.54323,0.45039,.5-1 y,2.125,No
Dogs,118,252,0.57467,0.51725,.5-1 y,2.125,No
Feist,119,321,0.56159,0.76361,.5-1 y,1.557142857,No
Pentatonix,119,321,0.54476,0.58402,.5-1 y,1.557142857,No
Science,119,321,0.63797,0.82398,.5-1 y,1.557142857,No
Plane,119,321,0.6157,0.61436,.5-1 y,1.557142857,No
Dogs,119,321,0.52059,0.53723,.5-1 y,1.557142857,No
Feist,120,295,0.616,0.63604,.5-1 y,2.132142857,No
Pentatonix,120,295,0.59815,0.64066,.5-1 y,2.132142857,No
Science,120,295,0.69795,0.7467,.5-1 y,2.132142857,No
Plane,120,295,0.51216,0.60961,.5-1 y,2.132142857,No
Dogs,120,295,0.60176,0.59602,.5-1 y,2.132142857,No
Feist,121,343,0.64202,0.68052,.5-1 y,1.525,No
Pentatonix,121,343,0.55703,0.66444,.5-1 y,1.525,No
Plane,121,343,0.57378,0.60807,.5-1 y,1.525,No
Dogs,121,343,0.55175,0.66587,.5-1 y,1.525,No
Feist,122,7196,0.5783,0.72092,adult,1.8,No
Pentatonix,122,7196,0.58286,0.60282,adult,1.8,No
Science,122,7196,0.58376,0.48154,adult,1.8,No
Plane,122,7196,0.49488,0.52331,adult,1.8,No
Dogs,122,7196,0.61507,0.58442,adult,1.8,No
